gene_id,Control1_2021,Control2_2021,Hopeaphenol1_2021,Hopeaphenol2_2021
ECA_RS02710,45,32,62,41
ECA_RS02715,24,14,30,45
ECA_RS02725,527,487,837,821
ECA_RS02730,98,67,89,86
ECA_RS02735,604,555,290,364
ECA_RS02740,21,25,37,29
ECA_RS02745,2,1,4,4
ECA_RS02750,63,51,46,61
ECA_RS02755,149,111,158,168
ECA_RS02765,12,14,10,22
ECA_RS02770,10,10,5,5
ECA_RS02775,3,4,8,10
ECA_RS02780,28,17,42,30
ECA_RS02785,15,28,22,17
ECA_RS02795,142,161,318,335
ECA_RS02800,100,60,68,87
ECA_RS02805,358,391,317,290
ECA_RS02810,65,45,45,47
ECA_RS02815,1,0,1,0
ECA_RS02820,6,1,1,9
ECA_RS02825,0,2,3,1
ECA_RS02830,3,14,19,16
ECA_RS02835,17,16,20,23
ECA_RS02840,56,49,71,66
ECA_RS02845,14,16,32,30
ECA_RS02850,13,21,32,20
ECA_RS02855,354,295,433,478
ECA_RS02865,80,67,58,38
ECA_RS02870,7,9,11,8
ECA_RS02875,20,13,10,14
ECA_RS02880,54,45,46,72
ECA_RS02885,7,3,11,14
ECA_RS02890,261,162,283,289
ECA_RS02900,569,558,1100,1211
ECA_RS02905,295,310,601,537
ECA_RS02910,41,44,65,36
ECA_RS02920,22,30,50,40
ECA_RS02925,34,38,12,16
ECA_RS02930,20,25,7,8
ECA_RS02935,53,57,15,12
ECA_RS02940,44,61,48,48
ECA_RS02950,7,8,1,2
ECA_RS02955,14,10,11,7
ECA_RS02960,30,38,33,42
ECA_RS02965,32,25,32,27
ECA_RS02970,166,152,239,249
ECA_RS02975,172,169,225,241
ECA_RS02980,252,221,380,420
ECA_RS02995,73,69,132,109
ECA_RS03000,774,817,1128,1250
ECA_RS03005,973,1074,1216,1416
ECA_RS03010,131,86,136,113
ECA_RS03015,51,48,54,42
ECA_RS03020,126,81,145,112
ECA_RS03025,38,29,36,23
ECA_RS03030,7,15,9,8
ECA_RS03035,16,18,18,30
ECA_RS03040,57,43,100,114
ECA_RS03045,39,38,57,43
ECA_RS03050,41,47,82,64
ECA_RS03055,136,113,117,153
ECA_RS03060,77,72,108,117
ECA_RS03065,1164,987,1962,1789
ECA_RS03070,3118,4174,9404,8851
ECA_RS03075,186,193,520,643
ECA_RS03080,699,918,1475,1469
ECA_RS03085,499,415,568,601
ECA_RS03095,962,1176,3252,3336
ECA_RS03105,2480,1922,2551,2750
ECA_RS03110,17322,13894,10616,10953
ECA_RS03135,756,725,1055,1236
ECA_RS03145,134,55,838,821
ECA_RS03155,65,66,94,84
ECA_RS03160,577,735,1070,1230
ECA_RS03165,671,840,3070,3202
ECA_RS03170,137,125,250,228
ECA_RS03175,56,81,354,363
ECA_RS03180,217,196,1230,1090
ECA_RS03185,734,745,3764,3094
ECA_RS03190,232,225,404,430
ECA_RS03200,154,102,181,228
ECA_RS03210,10601,13483,4809,4613
ECA_RS03220,20790,22547,12624,12043
ECA_RS03225,30360,31511,16663,17690
ECA_RS03230,796,703,184,186
ECA_RS03235,1123,1138,1009,919
ECA_RS03240,10,15,16,13
ECA_RS03250,304,309,799,836
ECA_RS03255,1426,1542,1867,1959
ECA_RS03265,125,114,1188,1381
ECA_RS03270,47,57,74,69
ECA_RS03280,206,115,160,186
ECA_RS03285,1389,1136,2009,1922
ECA_RS03290,266,292,411,675
ECA_RS03305,245,261,284,369
ECA_RS03310,5,3,5,3
ECA_RS03315,4,6,5,3
ECA_RS03330,0,0,0,0
ECA_RS03335,2,8,4,6
ECA_RS03340,7,4,10,4
ECA_RS03345,14,1,4,4
ECA_RS03350,209,204,293,350
ECA_RS03355,938,838,1697,1487
ECA_RS03360,398,192,448,457
ECA_RS03365,28,24,35,34
ECA_RS03370,67,61,107,77
ECA_RS03375,25,12,12,24
ECA_RS03415,54,35,106,137
ECA_RS03420,427,297,194,214
ECA_RS03425,611,452,291,255
ECA_RS03445,180,163,154,174
ECA_RS03495,21,20,13,16
ECA_RS03510,6,11,12,6
ECA_RS03515,106,57,73,75
ECA_RS03560,5072,4329,3212,2093
ECA_RS03570,50,77,78,94
ECA_RS03575,354,387,298,368
ECA_RS03580,2749,2387,3132,3788
ECA_RS03585,547,445,758,969
ECA_RS03590,17,29,40,47
ECA_RS03615,408,342,798,679
ECA_RS03620,242,319,498,384
ECA_RS03630,134,167,143,204
ECA_RS03640,636,676,886,1016
ECA_RS03645,104,128,165,199
ECA_RS03650,335,186,275,220
ECA_RS03655,219,147,187,167
ECA_RS03660,71,57,139,83
ECA_RS03665,6,9,29,28
ECA_RS03670,129,173,115,161
ECA_RS03705,96,68,139,169
ECA_RS03710,29,12,12,21
ECA_RS03715,2,2,13,15
ECA_RS03720,13,4,4,16
ECA_RS03725,15,25,28,28
ECA_RS03730,12,15,19,37
ECA_RS03735,29,30,51,40
ECA_RS03740,8,8,16,15
ECA_RS03745,31,32,74,76
ECA_RS03750,267,274,426,419
ECA_RS03755,162,169,149,185
ECA_RS03760,226,229,171,197
ECA_RS03775,251,383,335,325
ECA_RS03785,235,238,358,277
ECA_RS03795,2553,2471,3147,3070
ECA_RS03805,513,519,714,906
ECA_RS03810,1125,784,984,999
ECA_RS03840,121,102,121,149
ECA_RS03845,52,54,127,110
ECA_RS03850,43,25,29,35
ECA_RS03855,318,285,244,233
ECA_RS03860,24,46,36,45
ECA_RS03865,6,4,8,14
ECA_RS03870,123,171,231,277
ECA_RS03880,658,364,266,184
ECA_RS03885,1716,1448,1363,1439
ECA_RS03890,1429,1042,1164,1285
ECA_RS03895,238,139,86,107
ECA_RS03900,45,22,34,34
ECA_RS03905,54,17,12,9
ECA_RS03910,187,108,91,45
ECA_RS03920,223,150,51,38
ECA_RS03925,235,134,38,40
ECA_RS03930,393,234,90,124
ECA_RS03935,531,287,108,131
ECA_RS03940,122,107,66,53
ECA_RS03945,235,95,46,75
ECA_RS03950,305,221,105,115
ECA_RS03955,54,48,17,18
ECA_RS03960,75,70,31,43
ECA_RS03965,147,93,45,69
ECA_RS03970,2861,2293,978,950
ECA_RS03975,658,559,234,229
ECA_RS03980,96,75,26,49
ECA_RS03985,85,41,57,82
ECA_RS03990,56,50,65,68
ECA_RS03995,53,67,95,125
ECA_RS04000,188,95,201,155
ECA_RS04010,15,12,86,109
ECA_RS04020,3211,2935,5146,5876
ECA_RS04035,27,22,38,41
ECA_RS04040,79,46,96,65
ECA_RS04045,383,404,303,382
ECA_RS04050,55,57,103,109
ECA_RS04055,9667,7722,2370,1523
ECA_RS04060,256,197,327,303
ECA_RS04065,1492,1621,3318,4193
ECA_RS04070,2303,2230,2907,2873
ECA_RS04075,946,760,807,883
ECA_RS04080,353,341,706,759
ECA_RS04095,361,422,956,830
ECA_RS04100,58,47,87,98
ECA_RS04105,241,209,279,309
ECA_RS04110,131,79,67,63
ECA_RS04115,27,34,44,24
ECA_RS04120,2271,2307,1522,1738
ECA_RS04130,115,96,51,100
ECA_RS04135,342,386,473,349
ECA_RS04140,39,43,107,143
ECA_RS04150,176,184,138,245
ECA_RS04155,31,36,87,74
ECA_RS04180,333,183,358,346
ECA_RS04185,33,20,41,47
ECA_RS04190,79,130,225,298
ECA_RS04195,680,781,2868,2862
ECA_RS04205,410,508,996,1096
ECA_RS04210,51,38,92,96
ECA_RS04215,54,67,109,71
ECA_RS04225,851,990,828,846
ECA_RS04230,55,81,125,159
ECA_RS04235,31,27,62,38
ECA_RS04240,34,28,28,45
ECA_RS04245,63,79,58,59
ECA_RS04250,168,145,210,166
ECA_RS04255,61,39,71,86
ECA_RS04260,94,74,140,180
ECA_RS04285,48,32,88,124
ECA_RS04290,54,62,144,203
ECA_RS04295,10,7,35,23
ECA_RS04300,29,38,24,41
ECA_RS04305,174,113,217,213
ECA_RS04310,644,683,772,851
ECA_RS04325,59,74,118,130
ECA_RS04335,815,734,648,737
ECA_RS04340,1375,1222,1717,1495
ECA_RS04345,13,8,19,18
ECA_RS04350,136,106,141,127
ECA_RS04355,116,123,133,97
ECA_RS04360,214,123,191,244
ECA_RS04365,481,394,423,406
ECA_RS04370,896,863,808,851
ECA_RS04375,1235,1250,1405,1023
ECA_RS04395,171,147,2043,1508
ECA_RS04400,60,39,1102,1402
ECA_RS04405,148,183,6788,7335
ECA_RS04410,69,92,4125,4361
ECA_RS04450,1624,1292,3324,3294
ECA_RS04480,3117,3833,4660,4780
ECA_RS04485,81,111,181,194
ECA_RS04490,105,104,139,114
ECA_RS04495,45,71,211,242
ECA_RS04510,158,144,203,219
ECA_RS04515,4,3,25,13
ECA_RS04520,54,41,58,56
ECA_RS04530,9,7,8,8
ECA_RS04535,256,307,281,299
ECA_RS04540,1005,1093,621,744
ECA_RS04545,45,95,148,206
ECA_RS04550,51,47,117,157
ECA_RS04555,151,83,136,160
ECA_RS04560,87,114,112,165
ECA_RS04565,61,48,73,90
ECA_RS04570,89,73,122,156
ECA_RS04575,451,367,474,391
ECA_RS04580,762,797,1838,1836
ECA_RS04585,66,52,124,129
ECA_RS04590,5,12,22,28
ECA_RS04595,49,41,73,73
ECA_RS04600,51,35,48,61
ECA_RS04605,6,16,15,28
ECA_RS04610,134,78,232,266
ECA_RS04615,16930,18891,2289,2306
ECA_RS04620,1981,1808,573,572
ECA_RS04625,357,457,144,125
ECA_RS04630,391,361,101,81
ECA_RS04640,117,148,248,256
ECA_RS04645,63,83,191,227
ECA_RS04650,90,58,46,73
ECA_RS04655,93,102,185,194
ECA_RS04660,55,29,75,66
ECA_RS04665,40,31,39,49
ECA_RS04670,45,46,50,96
ECA_RS04675,245,283,387,487
ECA_RS04680,106,83,159,153
ECA_RS04685,78,42,71,78
ECA_RS04690,94,96,63,87
ECA_RS04695,92,62,142,173
ECA_RS04705,54,44,90,99
ECA_RS04710,49,82,86,143
ECA_RS04715,160,151,194,201
ECA_RS04720,271,255,476,497
ECA_RS04725,642,642,862,982
ECA_RS04730,128,121,159,187
ECA_RS04735,53,63,66,62
ECA_RS04740,183,226,518,541
ECA_RS04750,1379,1279,264,211
ECA_RS04765,72,56,70,74
ECA_RS04770,6,7,13,31
ECA_RS04775,1,2,6,3
ECA_RS04780,5,0,4,5
ECA_RS04785,4208,4192,5816,7269
ECA_RS04795,381,425,1089,1259
ECA_RS04800,629,642,442,518
ECA_RS04805,451,384,291,349
ECA_RS04810,130,112,177,159
ECA_RS04815,42,65,60,75
ECA_RS04825,282,167,160,141
ECA_RS04840,1817,1437,1542,1431
ECA_RS04845,377,351,677,980
ECA_RS04850,1338,800,339,353
ECA_RS04855,4495,5255,4364,4728
ECA_RS04860,126,66,1504,1431
ECA_RS04865,245,190,220,206
ECA_RS04895,10,7,11,11
ECA_RS04900,29,26,52,55
ECA_RS04905,7,1,9,13
ECA_RS04910,11,6,31,36
ECA_RS04935,240,240,416,503
ECA_RS04940,126,120,249,299
ECA_RS04950,239,176,174,246
ECA_RS04955,16,6,16,2
ECA_RS04960,141,106,122,139
ECA_RS04965,47,29,64,73
ECA_RS04975,102,69,110,70
ECA_RS04980,17,23,27,36
ECA_RS04985,17,18,41,30
ECA_RS04990,29,25,37,51
ECA_RS04995,5,10,5,22
ECA_RS05000,12,10,8,18
ECA_RS05005,29,31,47,40
ECA_RS05010,1166,1270,2579,2610
ECA_RS05030,153,79,1410,1100
ECA_RS05035,195,159,253,268
ECA_RS05040,98,98,172,99
ECA_RS05055,1724,1632,1718,1799
ECA_RS05070,471,492,607,750
ECA_RS05075,370,393,495,572
ECA_RS05080,140,128,201,200
ECA_RS05090,3303,2809,3434,3276
ECA_RS05095,1436,1120,1683,1237
ECA_RS05200,136,130,181,136
ECA_RS05215,487,459,720,642
ECA_RS05220,258,206,398,382
ECA_RS05235,210,297,488,484
ECA_RS05240,777,821,374,375
ECA_RS05245,728,858,225,68
ECA_RS05250,683,653,817,687
ECA_RS05255,31,8,9,7
ECA_RS05260,20,20,10,7
ECA_RS05265,30,34,33,25
ECA_RS05270,13,27,45,12
ECA_RS05275,9,18,17,6
ECA_RS05280,746,713,403,450
ECA_RS05285,40,20,38,47
ECA_RS05290,5,7,8,1
ECA_RS05295,67,103,33,12
ECA_RS05300,14,21,18,20
ECA_RS05305,8,26,43,5
ECA_RS05310,62,54,23,17
ECA_RS05315,634,649,3076,2841
ECA_RS05320,42,42,198,216
ECA_RS05325,565,551,1618,1311
ECA_RS05345,5112,3892,842,793
ECA_RS05350,3278,2567,507,445
ECA_RS05360,37,30,65,39
ECA_RS05365,50,81,90,67
ECA_RS05370,82,52,75,72
ECA_RS05380,38,36,37,70
ECA_RS05385,57,63,129,145
ECA_RS05390,12,11,15,6
ECA_RS05395,20,25,25,26
ECA_RS05400,16,21,25,23
ECA_RS05405,45,44,101,96
ECA_RS05410,133,139,262,271
ECA_RS05415,270,253,353,320
ECA_RS05425,6813,8496,1703,1766
ECA_RS05430,26954,29303,18596,18807
ECA_RS05435,473,677,817,746
ECA_RS05440,40,47,75,55
ECA_RS05445,25,25,45,42
ECA_RS05455,265,202,285,251
ECA_RS05460,4672,4918,2828,2809
ECA_RS05475,3670,3277,278,272
ECA_RS05490,736,915,1258,1261
ECA_RS05515,203,217,291,273
ECA_RS05520,10637,9893,5661,4711
ECA_RS05535,1654,1698,2512,2364
ECA_RS05540,25396,25267,20385,18566
ECA_RS05545,51,74,76,55
ECA_RS05575,1346,1550,4600,4972
ECA_RS05640,2512,2352,2923,2933
ECA_RS05645,165,131,91,110
ECA_RS05655,1897,1856,1754,1781
ECA_RS05660,6509,6729,6643,6196
ECA_RS05680,2023,1907,2192,2491
ECA_RS05720,162,108,164,165
ECA_RS05725,64,56,300,276
ECA_RS05735,1860,2477,1136,1251
ECA_RS05740,120,61,212,206
ECA_RS05745,363,309,353,369
ECA_RS05750,625,573,493,464
ECA_RS05770,1494,1405,10574,10934
ECA_RS05775,46,60,79,98
ECA_RS05790,1554,8,21,20
ECA_RS05795,10832,10825,19890,18196
ECA_RS05800,3782,4131,8542,8736
ECA_RS05810,138,114,158,179
ECA_RS05815,186,171,142,185
ECA_RS05830,661,541,691,716
ECA_RS05855,702,568,1644,1754
ECA_RS05860,6315,6788,6130,6505
ECA_RS05865,2466,2633,1033,935
ECA_RS05870,2034,2152,1774,1567
ECA_RS05875,10190,14588,14951,15108
ECA_RS05880,232,236,418,366
ECA_RS05890,1606,1602,2037,1732
ECA_RS05900,164,187,214,288
ECA_RS05915,1470,1355,1264,1297
ECA_RS05920,4048,3939,4475,4517
ECA_RS05925,9,11,9,19
ECA_RS05940,446,458,414,392
ECA_RS05965,114,125,168,219
ECA_RS05970,169,147,204,208
ECA_RS05975,207,184,322,324
ECA_RS05980,98,102,195,164
ECA_RS05985,64,58,121,109
ECA_RS06020,22,14,22,15
ECA_RS06025,1753,1271,1016,1113
ECA_RS06035,1347,1465,1903,2040
ECA_RS06040,2283,2222,2221,2300
ECA_RS06045,780,1050,1070,1083
ECA_RS06055,158,183,607,642
ECA_RS06060,775,665,2306,2278
ECA_RS06085,14,9,14,18
ECA_RS06105,11,11,10,11
ECA_RS06120,264,375,705,882
ECA_RS06130,11,11,25,28
ECA_RS06135,58,90,101,130
ECA_RS06145,87,83,199,208
ECA_RS06150,94,113,80,100
ECA_RS06160,14,18,43,45
ECA_RS06165,8,7,25,39
ECA_RS06175,8,27,19,21
ECA_RS06195,171,158,181,217
ECA_RS06230,844,942,880,1055
ECA_RS06240,130,111,120,183
ECA_RS06260,32,27,37,43
ECA_RS06265,216,281,223,207
ECA_RS06280,21,18,22,38
ECA_RS06285,6,13,20,15
ECA_RS06290,41,64,35,55
ECA_RS06295,11,8,17,7
ECA_RS06300,22,7,11,24
ECA_RS06305,6,5,11,21
ECA_RS06315,48,49,86,71
ECA_RS06320,12,7,31,28
ECA_RS06325,19,7,44,53
ECA_RS06335,250,196,240,290
ECA_RS06345,692,673,4370,4938
ECA_RS06350,69,80,49,45
ECA_RS06355,18,28,19,20
ECA_RS06365,45,31,53,31
ECA_RS06370,219,209,198,186
ECA_RS06375,59,108,68,80
ECA_RS06380,167,265,276,247
ECA_RS06385,38,37,72,40
ECA_RS06390,215,208,235,247
ECA_RS06400,401,404,434,621
ECA_RS06405,457,443,411,496
ECA_RS06435,430,330,370,281
ECA_RS06490,1759,1694,6657,7045
ECA_RS06495,1124,1134,1737,1764
ECA_RS06505,217,202,578,710
ECA_RS06510,6892,7073,17014,16864
ECA_RS06530,907,1102,1522,1923
ECA_RS06545,134,118,222,200
ECA_RS06550,84,81,74,72
ECA_RS06555,4,6,4,0
ECA_RS06560,2,10,4,2
ECA_RS06565,175,95,181,164
ECA_RS06570,215,100,166,134
ECA_RS06575,71,32,92,78
ECA_RS06580,14,7,10,18
ECA_RS06590,286,327,481,485
ECA_RS06605,4522,4114,5590,7211
ECA_RS06625,16796,21997,1648,1921
ECA_RS06650,63,68,60,74
ECA_RS06685,1309,1324,3314,3265
ECA_RS06690,69,60,107,127
ECA_RS06695,146,154,132,157
ECA_RS06700,34,42,50,42
ECA_RS06705,663,742,1938,2036
ECA_RS06715,397,326,560,640
ECA_RS06725,776,726,1231,1314
ECA_RS06745,66272,68463,31245,26993
ECA_RS06765,19040,18936,4756,4131
ECA_RS06840,8,5,9,10
ECA_RS06845,8,4,5,4
ECA_RS06850,136,116,125,137
ECA_RS06855,105,95,144,128
